Range	Tau	Fit_number	Sigma	QuantileProb
11300-15000	1007.98	1	222.438	0.0274007
7600-15000	2656.03	2	329.277	0.062271
3900-15000	2225.35	3	47.9285	0.114944
200-15000	2344.52	4	16.1369	2.12251e-14
200-13000	2355.1	5	18.4901	6.86123e-15
200-2000	2400.43	6	96.6795	2.5476e-10
5000-15000	2218.58	7	70.9581	0.0640074
3000-9000	2056.85	8	81.5676	0.254848
9000-15000	2926.9	9	181.726	0.0551966
